NISCODE,gemeente,verharding
13017,Kasterlee,9.9
34043,Spiere-Helkijn,9.8
73040,Kortessem,9.8
24135,Tielt-Winge,9.7
11053,Wuustwezel,9.7
31003,Beernem,9.7
45065,Zwalm,9.6
45060,Kluisbergen,9.6
13036,Retie,9.6
11022,Kalmthout,9.5
24016,Boutersem,9.5
24086,Oud-Heverlee,9.5
32006,Houthulst,9.4
43007,Kaprijke,9.3
33040,Langemark-Poelkapelle,9.3
72042,Oudsbergen,9.3
24137,Glabbeek,9.2
45063,Lierde,9.2
24059,Landen,9.2
45059,Brakel,9.1
24009,Bertem,9.1
24008,Bekkevoort,9.1
72030,Peer,9
44073,Wachtebeke,8.9
13044,Vorselaar,8.8
33021,Poperinge,8.6
13035,Ravels,8.5
23023,Galmaarden,8.5
24043,Holsbeek,8.4
24011,Bierbeek,8.3
23024,Gooik,8.2
33016,Mesen,8.2
45062,Horebeke,8.2
45061,Wortegem-Petegem,8.1
24028,Geetbets,8.1
24133,Linter,7.9
44045,Moerbeke,7.8
24054,Kortenaken,7.7
43002,Assenede,7.6
24130,Zoutleeuw,7.6
24045,Huldenberg,7.5
24041,Hoegaarden,7.5
38025,Veurne,7.5
45064,Maarkedal,7
33041,Vleteren,6.8
32003,Diksmuide,6.8
72038,Hechtel-Eksel,6.7
23032,Herne,6.7
71017,Gingelom,6.5
73028,Herstappe,6.4
31006,Damme,6.4
73022,Heers,6
33039,Heuvelland,5.9
23064,Pepingen,5.7
43014,Sint-Laureins,5.5
38002,Alveringem,5.1
23009,Bever,5.1
32030,Lo-Reninge,5
73109,Voeren,4.7
31042,Zuienkerke,4.2
21001,Anderlecht,52.7
21002,Oudergem,52.7
21003,Sint-Agatha-Berchem,52.7
21004,Brussel,52.7
21005,Etterbeek,52.7
21006,Evere,52.7
21007,Vorst,52.7
21008,Ganshoren,52.7
21009,Elsene,52.7
21010,Jette,52.7
21011,Koekelberg,52.7
21012,Sint-Jans-Molenbeek,52.7
21013,Sint-Gillis,52.7
21014,Sint-Joost-ten-Node,52.7
21015,Schaarbeek,52.7
21016,Ukkel,52.7
21017,Watermaal-Bosvoorde,52.7
21018,Sint-Lambrechts-Woluwe,52.7
21019,Sint-Pieters-Woluwe,52.7
